Aridity,Temperature,Height,WoodDensity,LeafN,SeedMass,RootDepth,pca1
1.527,22.8036483764648,-0.748048378780802,-0.87077390405307,0.563060428267324,0.272544982780086,0.307215210420079,-0.409789623025414
1.527,22.8036483764648,-0.463607548955375,-1.86875018982078,-0.608078723549812,-0.639441114468708,-0.906697384832903,1.23582542945659
1.527,22.8036483764648,-0.733428160732538,0.753071743441115,-1.46558991509508,-0.610847565262786,0.743876606878279,0.496391013012828
1.4378,23.0793899536133,0.595421646474299,-0.713000008157973,0.171160220695727,0.392200731634829,0.87290299631317,-0.104785707825967
1.4378,23.0793899536133,0.0506301850094515,-0.539834071020615,-1.01107628202976,0.241341965449011,0.386245569472633,0.612591399801471
1.4378,23.0793899536133,0.0425091389899461,-0.538951698997402,-0.459575243898683,0.0259002533708098,-0.0371371373943603,0.442616128058513
1.154,11.1597244262695,-0.0135347014812701,0.217866320801044,-0.789075792608394,1.20744834290842,0.0511188341491944,0.358266423790108
1.5978,10.2099891662598,-0.223479103977607,0.203516928134604,0.114426152884223,0.163455411373006,-0.0302402970506968,-0.45863437024507
1.4378,23.0793899536133,0.744614399316259,-0.325422607975533,0.0241035435783651,0.346328563273002,0.461634991262223,0.127645175859488
1.5904,24.4241851806641,0.471220627246781,0.620529071085537,0.0700108687633264,-0.122646769507575,-0.765245086266876,0.00250104883280056
1.3783,9.45474472045898,0.325629109312251,-0.112885666135221,-0.439050692461293,1.08306192984826,0.11764105071058,0.230135011382401
1.4378,23.0793899536133,0.290127714957361,-0.815001029117516,-0.120271758643831,0.444647618112288,1.28921312704119,0.136819783154304
1.4378,23.0793899536133,0.418647806186668,0.249686973500983,-1.15570054821218,0.012772196896442,1.34802891806431,0.37534983512921
1.2023,12.0190399169922,0.189218694311066,-1.05335420967562,-0.791505854820531,-0.306595092885508,0.030634077567225,2.03491353459925
1.392,24.5190689086914,-0.628155327806444,0.966985510556641,1.37702653993415,-1.05492865467856,-0.0492640122890919,-0.383960892185647
0.9071,10.6049926757813,1.03033412426976,-0.720914708554787,0.178327303999217,-0.620801482119493,-0.402605266037517,0.668558199405774
1.4378,23.0793899536133,0.31545713424496,-0.489487722498935,0.10675163813831,0.633759095731311,0.75490721136837,-0.136437209935677
