Biome,n,MeanHeight,seHeight,lowCIHeight,hiCIHeight,MeanCrownDiameter,seCrownDiameter,lowCICrownDiameter,hiCICrownDiameter,MeanBarkThickness,seBarkThickness,lowCIBarkThickness,hiCIBarkThickness,MeanWoodDensity,seWoodDensity,lowCIWoodDensity,hiCIWoodDensity,MeanSLA,seSLA,lowCISLA,hiCISLA,MeanLeafN,seLeafN,lowCILeafN,hiCILeafN,MeanLeafNP,seLeafNP,lowCILeafNP,hiCILeafNP,MeanStemConduitD,seStemConduitD,lowCIStemConduitD,hiCIStemConduitD,MeanRootDepth,seRootDepth,lowCIRootDepth,hiCIRootDepth,MeanSeedMass,seSeedMass,lowCISeedMass,hiCISeedMass,Meanpca1,sepca1,lowCIpca1,hiCIpca1,Meanpca2,sepca2,lowCIpca2,hiCIpca2,Pvalue_Height,Pvalue_CrownDiameter,Pvalue_BarkThickness,Pvalue_WoodDensity,Pvalue_SLA,Pvalue_LeafN,Pvalue_LeafNP,Pvalue_StemConduitDiameter,Pvalue_RootDepth,Pvalue_SeedMass,Pvalue_Gymnosperm,Pvalue_pca1,Pvalue_pca2
1,1694,0.0506993693528015,0.0113661141852244,0.0284062572417231,0.0729924814638799,0.0204703846112769,0.00891882978609005,0.00297729338583395,0.0379634758367198,-0.0321281776917099,0.00871445565736574,-0.0492204164103059,-0.0150359389731138,-0.107448232504816,0.0245882539348187,-0.155674802522664,-0.0592216624869682,-0.0626159741890166,0.0084105255481042,-0.079112094666208,-0.0461198537118251,-0.0390244253785194,0.0177546202197381,-0.0738477372508192,-0.00420111350621958,0.00607835218320243,0.00750293083448733,-0.00863764270556359,0.0207943470719684,0.0156686255004148,0.00714197381864695,0.00166059949972051,0.0296766515011091,-0.0326735880157505,0.0187458250064146,-0.069441015447187,0.00409383941568597,0.0420855288466657,0.0131088194005068,0.0163743336415994,0.067796724051732,0.0425618078226469,0.0118959591270084,0.0192294757551094,0.0658941398901845,-0.0344310088659556,0.015306371518558,-0.0644524085031874,-0.00440960922872389,1,0,0,1,1,0,0,0,0,0,0,1,0
2,1015,0.0673669246956338,0.01782835459983,0.0323822330359333,0.102351616355334,-0.00396306404323046,0.0134780527440795,-0.0304111311817031,0.0224850030952422,-0.0220414429067006,0.0150015245570931,-0.0514790283056545,0.00739614249225335,-0.12360551372423,0.0338141408162488,-0.189959213588683,-0.0572518138597767,-0.0673123710046982,0.0124220755917006,-0.0916882875771272,-0.0429364544322692,-0.0528317697105891,0.0246961125116416,-0.101293105644601,-0.00437043377657677,-0.0185805428811016,0.0110975074795683,-0.0403572511684508,0.00319616540624752,0.023780210725586,0.0109562977118476,0.00228059924800601,0.0452798222031661,0.0359479970890163,0.0276052208512232,-0.0182219003218861,0.0901178944999188,0.0768351089760919,0.0175195552683261,0.0424563761746187,0.111213841777565,0.0517702707407007,0.016533444525189,0.019326589213746,0.0842139522676554,-0.0796371987304574,0.0245222129636241,-0.127757290494511,-0.031517106966404,1,0,0,1,1,1,0,0,0,1,0,1,0
4,9721,0.164112177649148,0.00596573053965275,0.152418104470594,0.175806250827703,-0.139504248275163,0.0061215907021403,-0.151503839802834,-0.127504656747492,0.112815873279056,0.00509702989311069,0.102824634122823,0.12280711243529,-0.031025253134042,0.0107641483347543,-0.0521252236229467,-0.00992528264513729,-0.0321969786234147,0.0110116951896367,-0.0537821924562609,-0.0106117647905684,-0.18386015252939,0.00971096947769304,-0.202895673318007,-0.164824631740773,-0.0805016802399736,0.00429580051555785,-0.0889223431002054,-0.0720810173797417,-0.214530934416179,0.0098272244628624,-0.233794339165512,-0.195267529666845,-0.0747476376847515,0.00451796738811059,-0.0836037938426128,-0.0658914815268901,-0.0630400019581193,0.0109520855465958,-0.0845083684873144,-0.0415716354289242,0.325857254183069,0.0179549976367845,0.290661722824465,0.361052785541672,0.000886271477852674,0.00958436338762857,-0.0179010750306454,0.0196736179863507,1,1,1,1,0,1,1,1,1,1,1,1,0
5,8813,0.222444708400356,0.00998944716375225,0.202863062119992,0.242026354680721,-0.127955602211377,0.00585951229491894,-0.139441612923851,-0.116469591498903,0.0968440555116768,0.00650288111860393,0.0840968918518278,0.109591219171526,-0.470674973168114,0.00860641458069522,-0.487545553020908,-0.45380439331532,-0.29961576804038,0.00902361022476295,-0.317304148658114,-0.281927387422646,-0.537092221608403,0.0090104365270733,-0.554754778706163,-0.519429664510644,-0.337130040651388,0.00605181238867931,-0.348993004397796,-0.325267076904981,-0.61090251333501,0.0113214011547902,-0.633095100089524,-0.588709926580495,-0.295331866236861,0.00603191253261055,-0.307155821624129,-0.283507910849593,-0.272505258208111,0.00902247885888605,-0.290191421084858,-0.254819095331365,1.10126495596367,0.0191563571099552,1.06371402818975,1.1388158837376,0.0365157568193167,0.0109649281462786,0.0150219403017074,0.058009573336926,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1562,0.192498969585496,0.0164820582547592,0.160169661922384,0.224828277248608,0.0698164869901166,0.0158401396992995,0.038746292852351,0.100886681127882,0.0837288515003059,0.0100071609191901,0.0640999569053394,0.103357746095273,-0.206406944787448,0.0233391654622495,-0.252186364394309,-0.160627525180587,0.00333317128387748,0.0294815514227377,-0.0544944453644457,0.0611607879322007,0.0244350382259826,0.0338462591995587,-0.0419538866276239,0.090823963079589,-0.0140600132867966,0.012359931676382,-0.0383038320917335,0.0101838055181404,-0.0113041320954596,0.0293093399369894,-0.068793958522451,0.0461856943315319,-0.0435252897221009,0.0100077768309982,-0.0631553924187518,-0.02389518702545,-0.2000723965338,0.0245775167645184,-0.248280823466521,-0.151863969601079,0.168187212370373,0.0522339641526543,0.0657310827139014,0.270643342026845,-0.0335698778335845,0.0180724062685391,-0.0690186290415624,0.00187887337439346,1,1,1,1,0,1,0,1,1,1,0,1,0
